Date,Predicted,Actual
2022-08-16,146.65105,173.03
2022-08-15,122.2639,173.19
2022-08-12,161.93304,172.1
2022-08-11,157.81099,168.49
2022-08-10,156.04475,169.24
2022-08-09,186.18385,164.92
2022-08-08,138.55519,164.87
2022-08-05,200.65634,165.35
2022-08-04,186.83243,165.81
2022-08-03,132.72081,166.13
2022-08-02,144.41217,160.01
2022-08-01,133.17839,161.51
2022-07-29,170.3185,162.51
2022-07-28,147.8107,157.35
2022-07-27,153.42691,156.79
2022-07-26,201.62209,151.6
2022-07-25,135.58931,152.95
2022-07-22,146.65855,154.09
2022-07-21,139.3579,155.35
2022-07-20,160.0739,153.04
2022-07-19,153.88414,151.0
2022-07-18,150.31255,147.07
2022-07-15,139.61122,150.17
2022-07-14,180.62013,148.47
2022-07-13,196.70041,145.49
2022-07-12,162.76497,145.86
2022-07-11,137.58482,144.87
2022-07-07,97.64302,146.35
2022-07-06,149.58044,142.92
2022-07-05,146.93237,141.56
2022-07-01,134.29837,138.93
2022-06-30,134.10736,136.72
2022-06-29,116.941605,139.23
2022-06-28,113.68281,137.44
2022-06-27,139.02855,141.66
2022-06-24,121.94812,141.66
2022-06-23,143.03947,138.27
2022-06-22,148.72414,135.35
2022-06-21,137.00188,135.87
2022-06-17,174.56639,131.56
2022-06-16,158.91563,130.06
2022-06-15,119.225235,135.43
2022-06-14,121.61894,132.76
2022-06-13,126.59006,131.88
2022-06-10,119.905685,137.13
2022-06-09,114.295555,142.64
2022-06-08,133.20497,147.96
2022-06-07,143.79303,148.71
2022-06-06,135.68794,146.14
2022-06-03,137.84773,145.38
2022-06-02,166.48389,151.21
2022-06-01,138.9091,148.71
2022-05-31,137.04309,148.84
2022-05-27,125.23117,149.64
2022-05-26,121.6568,143.78
2022-05-25,112.6508,140.52
2022-05-24,145.9499,140.36
2022-05-23,134.07027,143.11
2022-05-20,117.82892,137.59
2022-05-19,121.01843,137.35
2022-05-18,146.19215,140.82
2022-05-17,123.28606,149.24
2022-05-16,130.21877,145.54
2022-05-13,123.56463,147.11
2022-05-12,165.43468,142.56
2022-05-11,132.7505,146.5
2022-05-10,103.30696,154.51
2022-05-09,113.961876,152.06
2022-05-06,129.64764,157.28
2022-05-05,162.76193,156.77
2022-05-04,127.392845,166.02
2022-05-03,106.15955,159.48
2022-05-02,106.14553,157.96
2022-04-29,127.13164,157.65
2022-04-28,147.95323,163.64
2022-04-27,127.82351,156.57
2022-04-26,165.28795,156.8
2022-04-25,128.85947,162.88
2022-04-22,115.36031,161.79
2022-04-21,150.43195,166.42
2022-04-20,112.81811,167.23
2022-04-19,126.93381,167.4
2022-04-18,125.68151,165.07
2022-04-14,135.94759,165.29
2022-04-13,127.28353,170.4
2022-04-12,136.081,167.66
2022-04-11,148.50374,165.75
2022-04-08,177.9049,170.09
2022-04-07,171.17546,172.14
2022-04-06,150.51898,171.83
2022-04-05,149.76515,175.06
2022-04-04,170.78899,178.44
2022-04-01,140.18999,174.31
2022-03-31,135.22394,174.61
2022-03-30,197.98552,177.77
2022-03-29,150.17497,178.96
2022-03-28,137.36479,175.6
2022-03-25,126.950745,174.72
2022-03-24,103.78146,174.07
2022-03-23,143.24037,170.21
2022-03-22,142.06459,168.82
2022-03-21,126.80464,165.38
2022-03-18,193.95262,163.98
2022-03-17,127.98008,160.62
2022-03-16,128.70277,159.59
2022-03-15,163.9282,155.09
2022-03-14,126.83772,150.62
2022-03-11,154.93591,154.73
2022-03-10,123.75789,158.52
2022-03-09,146.75444,162.95
2022-03-08,136.23073,157.44
2022-03-07,177.34877,159.3
2024-01-15,189.6749,183.63
2022-06-20,141.77898,135.87
2022-04-15,151.02428,165.07
